ReferenceArea,UnitOfMeasure,Age,Sex,CANCER_SITE,CancerSite,TIME_PERIOD,OBS_VALUE
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,48
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,53.4
Slovak Republic,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,57.5
Iceland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2002,30
Iceland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2008,29.3
Iceland,Cases per 100 000 persons,Total,Male,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,31
Sweden,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2000,81
Sweden,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2002,87.8
Sweden,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2008,82.7
Sweden,Cases per 100 000 persons,Total,Female,CICDMNBR,Malignant neoplasms of female breast,2012,80.4
Austria,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,250.7
Austria,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,275.5
Austria,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,250.6
Austria,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,254.1
France,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2000,33.3
France,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,33.4
France,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,29.4
France,Cases per 100 000 persons,Total,Total,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,30
Colombia,Cases per 100 000 persons,Total,Total,CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",2012,11
Estonia,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2008,15.8
Estonia,Cases per 100 000 persons,Total,Female,CICDCRVX,Malignant neoplasms of cervix uteri,2012,19.9
United Kingdom,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,247.3
United Kingdom,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,273.6
United Kingdom,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,269.4
United Kingdom,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,272.9
Korea,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2002,15.8
Korea,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2008,25.6
Korea,Cases per 100 000 persons,Total,Female,CICDNCRA,"Malignant neoplasms of colon, rectum and anus",2012,33.3
Italy,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2000,254.1
Italy,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2002,276.5
Italy,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2008,274.3
Italy,Cases per 100 000 persons,Total,Total,CICDTUME,Malignant neoplasms,2012,278.6
Netherlands,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2000,299.6
Netherlands,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2002,314.6
Netherlands,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2008,318.4
Netherlands,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,327.8
Brazil,Cases per 100 000 persons,Total,Male,CICDTUME,Malignant neoplasms,2012,231.6
