ReferenceArea,MEASURE,Measure,Age,Sex,UnitOfMeasure,TIME_PERIOD,OBS_VALUE
Germany,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2013,20.9
Germany,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2017,18.8
Germany,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2021,14.6
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,27.4
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2011,26.5
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,25.5
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,25.5
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,22.2
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2015,22.4
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,21
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,20.9
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,23.5
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,20.4
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,20.8
Italy,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,19
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2010,14.1
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2011,13.2
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2012,12.6
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2013,13.1
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,11.1
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2015,7.7
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2016,9
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2017,6.8
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2018,5
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,4.9
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2020,5
United States,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2021,3.1
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,15.7
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2011,14.8
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2012,14
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2013,13.2
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,14
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2015,14.5
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2016,15
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2017,12
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2018,13
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,10
Finland,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,11
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2010,12.5
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2011,12.4
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2012,13.1
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2013,11.7
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2014,12.1
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2015,10.7
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2016,11.2
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2017,10.3
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2018,9.2
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2019,10.6
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2020,8.7
Sweden,SP_DS,Share of population who are daily smokers,15 years or over,Female,Percentage of population,2021,9.1
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2011,15.5
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,11.9
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2016,10
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,12.5
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2020,12.3
Mexico,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2021,13.2
Chile,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2016,14
Chile,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2020,8.7
Romania,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,19.8
Romania,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,18.7
Germany,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2013,15.6
Germany,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2017,11.2
Germany,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Female,Percentage of population,2021,7.9
Türkiye,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2010,25.4
Türkiye,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2012,23.8
Türkiye,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2014,27.3
Türkiye,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2016,26.5
Türkiye,SP_DS,Share of population who are daily smokers,15 years or over,Total,Percentage of population,2019,28
Lithuania,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,13.7
Lithuania,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,12.9
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2010,15.1
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2011,12.8
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2012,14.5
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2013,14.6
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2014,11
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2015,10.1
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2016,8.4
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2017,9.1
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2018,7.1
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2019,4.9
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2020,4.6
Canada,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Male,Percentage of population,2021,2.3
Hungary,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2014,27.2
Hungary,SP_DS,Share of population who are daily smokers,From 15 to 24 years,Total,Percentage of population,2019,26.3
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2010,25.4
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2015,19.1
India,SP_DS,Share of population who are daily smokers,15 years or over,Male,Percentage of population,2018,16.1
