Reference area,MEASURE,Measure,Age,Sex,Unit of measure,TIME_PERIOD,OBS_VALUE
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1062.7
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1054.7
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,995.5
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,943
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,887.9
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,839.8
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,827.9
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,773
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,769
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,727
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,806
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,808
Israel,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2022,779
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,2142.8
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1855.6
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1719.1
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1577.8
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1548
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1537.5
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1533.5
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1477.5
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1469.8
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1472.8
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,1486.5
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1486
Spain,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2022,1519.9
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,10
United Kingdom,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,10
Greece,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,18.8
Greece,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,17
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,10.7
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,10.5
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,10.4
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,10.2
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,10.1
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,9.9
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,10.3
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,10.3
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,10.3
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,10.2
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,10.2
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2021,10.2
Costa Rica,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2022,7.2
Poland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,15.5
Poland,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,15.2
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2010,1783
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2011,1587
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2012,1543
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2013,1553
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2014,1260
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2015,1283
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2016,1272
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2017,1339
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2018,1113
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2019,1196
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2020,979
Denmark,TBC,Tobacco consumption,15 years or over,Total,Grammes per person,2021,1027
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2010,15
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2011,15
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2012,14.6
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2013,14.2
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2014,13.8
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2015,14.1
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2016,14.1
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2017,13.6
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2018,13.9
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2019,13.7
United States,TBC,Tobacco consumption,Total,Total,Cigarettes per smoker per day,2020,13.8
