STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,METHODOLOGY,Measurement method,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,DEU,Germany,A,Annual,SP_DS,Share of population who are daily smokers,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2013,,20.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,DEU,Germany,A,Annual,SP_DS,Share of population who are daily smokers,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2017,,18.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,DEU,Germany,A,Annual,SP_DS,Share of population who are daily smokers,Y_GE15,15 years or over,_T,Total,PT_POP,Percentage of population,_Z,Not applicable,2021,,14.6,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2010,,1062.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2011,,1054.7,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2012,,995.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2013,,943,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2014,,887.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2015,,839.8,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2016,,827.9,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2017,,773,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2018,,769,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2019,,727,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2020,,806,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2021,,808,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ISR,Israel,A,Annual,TBC,Tobacco consumption,Y_GE15,15 years or over,_T,Total,G_PS,Grammes per person,_Z,Not applicable,2022,,779,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ITA,Italy,A,Annual,SP_DS,Share of population who are daily smokers,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2010,,27.4,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ITA,Italy,A,Annual,SP_DS,Share of population who are daily smokers,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2011,,26.5,,A,Normal value,0,Units,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG_TC(1.0),Tobacco consumption,I,ITA,Italy,A,Annual,SP_DS,Share of population who are daily smokers,Y15T24,From 15 to 24 years,M,Male,PT_POP,Percentage of population,_Z,Not applicable,2012,,25.5,,A,Normal value,0,Units,,
